nct_id,snapshot_type,version,version_date,primary_outcomes,history_status,history_url
NCT01605396,pre_recruitment,,,,CURRENT_ONLY_HISTORY_UNAVAILABLE,https://clinicaltrials.gov/study/NCT01605396?tab=history
NCT01605396,pre_primary_completion,,,,CURRENT_ONLY_HISTORY_UNAVAILABLE,https://clinicaltrials.gov/study/NCT01605396?tab=history
NCT01605396,pre_publication,,,,CURRENT_ONLY_HISTORY_UNAVAILABLE,https://clinicaltrials.gov/study/NCT01605396?tab=history
NCT01605396,current,current,,1. Progression-free Survival (PFS) According to Response Criteria in Solid Tumors Version 1.1 (RECIST 1.1) Based on Blinded Independent Central Review (BICR) [Time Frame: From Day 1 through last post-study efficacy follow-up (up to ~19 months)],CURRENT_ONLY_HISTORY_UNAVAILABLE,https://clinicaltrials.gov/study/NCT01605396?tab=history
NCT01125566,original,,,,CURRENT_ONLY_HISTORY_UNAVAILABLE,https://clinicaltrials.gov/study/NCT01125566?tab=history
NCT01125566,pre_recruitment,,,,CURRENT_ONLY_HISTORY_UNAVAILABLE,https://clinicaltrials.gov/study/NCT01125566?tab=history
NCT01125566,pre_primary_completion,,,,CURRENT_ONLY_HISTORY_UNAVAILABLE,https://clinicaltrials.gov/study/NCT01125566?tab=history
NCT01125566,pre_publication,,,,CURRENT_ONLY_HISTORY_UNAVAILABLE,https://clinicaltrials.gov/study/NCT01125566?tab=history
NCT01125566,current,current,,"Progression-free Survival (PFS) [Time Frame: From randomization (07Sep2010) until disease progression, death or data cut-off (08Jun2013); Up to 34 months]",CURRENT_ONLY_HISTORY_UNAVAILABLE,https://clinicaltrials.gov/study/NCT01125566?tab=history
NCT03633331,original,,,,CURRENT_ONLY_HISTORY_UNAVAILABLE,https://clinicaltrials.gov/study/NCT03633331?tab=history
NCT03633331,pre_recruitment,,,,CURRENT_ONLY_HISTORY_UNAVAILABLE,https://clinicaltrials.gov/study/NCT03633331?tab=history
NCT03633331,pre_primary_completion,,,,CURRENT_ONLY_HISTORY_UNAVAILABLE,https://clinicaltrials.gov/study/NCT03633331?tab=history
NCT03633331,pre_publication,,,,CURRENT_ONLY_HISTORY_UNAVAILABLE,https://clinicaltrials.gov/study/NCT03633331?tab=history
NCT03633331,current,current,,Incidence of Adverse Events [Time Frame: 6 months],CURRENT_ONLY_HISTORY_UNAVAILABLE,https://clinicaltrials.gov/study/NCT03633331?tab=history
NCT00066703,original,,,,CURRENT_ONLY_HISTORY_UNAVAILABLE,https://clinicaltrials.gov/study/NCT00066703?tab=history
NCT00066703,pre_recruitment,,,,CURRENT_ONLY_HISTORY_UNAVAILABLE,https://clinicaltrials.gov/study/NCT00066703?tab=history
NCT00066703,pre_primary_completion,,,,CURRENT_ONLY_HISTORY_UNAVAILABLE,https://clinicaltrials.gov/study/NCT00066703?tab=history
NCT00066703,pre_publication,,,,CURRENT_ONLY_HISTORY_UNAVAILABLE,https://clinicaltrials.gov/study/NCT00066703?tab=history
NCT00066703,current,current,,Disease-free Survival [Time Frame: 5-year estimate reported at a median follow-up of 72 months],CURRENT_ONLY_HISTORY_UNAVAILABLE,https://clinicaltrials.gov/study/NCT00066703?tab=history
NCT01031446,original,,,,CURRENT_ONLY_HISTORY_UNAVAILABLE,https://clinicaltrials.gov/study/NCT01031446?tab=history
NCT01031446,pre_recruitment,,,,CURRENT_ONLY_HISTORY_UNAVAILABLE,https://clinicaltrials.gov/study/NCT01031446?tab=history
NCT01031446,pre_primary_completion,,,,CURRENT_ONLY_HISTORY_UNAVAILABLE,https://clinicaltrials.gov/study/NCT01031446?tab=history
NCT01031446,pre_publication,,,,CURRENT_ONLY_HISTORY_UNAVAILABLE,https://clinicaltrials.gov/study/NCT01031446?tab=history
NCT01031446,current,current,,Maximum Feasible Dose in Milligrams Per Meter Squared of Body Surface Area (mg/m2) of Cisplatin and Paclitaxel for Women With Metastatic Breast Cancer [Time Frame: at 8 weeks] | Maximum Feasible Dose in mg of RAD001 (Everolimus)for Women With Metastatic Breast Cancer [Time Frame: at 8 weeks] | Patients With Progression-free Survival [Time Frame: at 6 months],CURRENT_ONLY_HISTORY_UNAVAILABLE,https://clinicaltrials.gov/study/NCT01031446?tab=history
NCT02988986,original,,,,CURRENT_ONLY_HISTORY_UNAVAILABLE,https://clinicaltrials.gov/study/NCT02988986?tab=history
NCT02988986,pre_recruitment,,,,CURRENT_ONLY_HISTORY_UNAVAILABLE,https://clinicaltrials.gov/study/NCT02988986?tab=history
NCT02988986,pre_primary_completion,,,,CURRENT_ONLY_HISTORY_UNAVAILABLE,https://clinicaltrials.gov/study/NCT02988986?tab=history
NCT02988986,pre_publication,,,,CURRENT_ONLY_HISTORY_UNAVAILABLE,https://clinicaltrials.gov/study/NCT02988986?tab=history
NCT02988986,current,current,,Ki67 Expression [Time Frame: Baseline to 6 weeks],CURRENT_ONLY_HISTORY_UNAVAILABLE,https://clinicaltrials.gov/study/NCT02988986?tab=history
NCT00670982,original,,,,CURRENT_ONLY_HISTORY_UNAVAILABLE,https://clinicaltrials.gov/study/NCT00670982?tab=history
NCT00670982,pre_recruitment,,,,CURRENT_ONLY_HISTORY_UNAVAILABLE,https://clinicaltrials.gov/study/NCT00670982?tab=history
NCT00670982,pre_primary_completion,,,,CURRENT_ONLY_HISTORY_UNAVAILABLE,https://clinicaltrials.gov/study/NCT00670982?tab=history
NCT00670982,pre_publication,,,,CURRENT_ONLY_HISTORY_UNAVAILABLE,https://clinicaltrials.gov/study/NCT00670982?tab=history
NCT00670982,current,current,,Proportion of Patients Alive and Without Progression of Disease at 1 Year From Start of Protocol-based Therapy. [Time Frame: 1 year],CURRENT_ONLY_HISTORY_UNAVAILABLE,https://clinicaltrials.gov/study/NCT00670982?tab=history
NCT01964924,original,,,,CURRENT_ONLY_HISTORY_UNAVAILABLE,https://clinicaltrials.gov/study/NCT01964924?tab=history
NCT01964924,pre_recruitment,,,,CURRENT_ONLY_HISTORY_UNAVAILABLE,https://clinicaltrials.gov/study/NCT01964924?tab=history
NCT01964924,pre_primary_completion,,,,CURRENT_ONLY_HISTORY_UNAVAILABLE,https://clinicaltrials.gov/study/NCT01964924?tab=history
NCT01964924,pre_publication,,,,CURRENT_ONLY_HISTORY_UNAVAILABLE,https://clinicaltrials.gov/study/NCT01964924?tab=history
NCT01964924,current,current,,"Objective Response Rate (ORR), Defined as the Proportion of Patients Who Have Had a Partial Response (PR) or Complete Response (CR) (RECIST 1.1 Based) Within the First 6 Months After Initiation of Therapy With Trametinib [Time Frame: 6 months]",CURRENT_ONLY_HISTORY_UNAVAILABLE,https://clinicaltrials.gov/study/NCT01964924?tab=history
NCT02599194,original,,,,CURRENT_ONLY_HISTORY_UNAVAILABLE,https://clinicaltrials.gov/study/NCT02599194?tab=history
NCT02599194,pre_recruitment,,,,CURRENT_ONLY_HISTORY_UNAVAILABLE,https://clinicaltrials.gov/study/NCT02599194?tab=history
NCT02599194,pre_primary_completion,,,,CURRENT_ONLY_HISTORY_UNAVAILABLE,https://clinicaltrials.gov/study/NCT02599194?tab=history
NCT02599194,pre_publication,,,,CURRENT_ONLY_HISTORY_UNAVAILABLE,https://clinicaltrials.gov/study/NCT02599194?tab=history
NCT02599194,current,current,,Change From Baseline in Standard Uptake Value Maximum (SUVmax) Post-treatment [Time Frame: Baseline and up to 2 years],CURRENT_ONLY_HISTORY_UNAVAILABLE,https://clinicaltrials.gov/study/NCT02599194?tab=history
NCT00934856,original,,,,CURRENT_ONLY_HISTORY_UNAVAILABLE,https://clinicaltrials.gov/study/NCT00934856?tab=history
NCT00934856,pre_recruitment,,,,CURRENT_ONLY_HISTORY_UNAVAILABLE,https://clinicaltrials.gov/study/NCT00934856?tab=history
NCT00934856,pre_primary_completion,,,,CURRENT_ONLY_HISTORY_UNAVAILABLE,https://clinicaltrials.gov/study/NCT00934856?tab=history
NCT00934856,pre_publication,,,,CURRENT_ONLY_HISTORY_UNAVAILABLE,https://clinicaltrials.gov/study/NCT00934856?tab=history
NCT00934856,current,current,,"Number of Participants With Dose Limiting Toxicity (DLT) - MBC and LABC Feasibility Population [Time Frame: Cycle 1 (up to 21 days)] | Percentage of Participants With Adverse Events (AEs) or Serious AEs (SAEs) - MBC and LABC Population [Time Frame: Baseline up to 28 days after last dose for MBC participants and for LABC participants who could not undergo surgery, and up to 6 weeks post-surgery for LABC participants who underwent surgery (maximum up to approximately 3 years)]",CURRENT_ONLY_HISTORY_UNAVAILABLE,https://clinicaltrials.gov/study/NCT00934856?tab=history
NCT02860000,original,,,,CURRENT_ONLY_HISTORY_UNAVAILABLE,https://clinicaltrials.gov/study/NCT02860000?tab=history
NCT02860000,pre_recruitment,,,,CURRENT_ONLY_HISTORY_UNAVAILABLE,https://clinicaltrials.gov/study/NCT02860000?tab=history
NCT02860000,pre_primary_completion,,,,CURRENT_ONLY_HISTORY_UNAVAILABLE,https://clinicaltrials.gov/study/NCT02860000?tab=history
NCT02860000,pre_publication,,,,CURRENT_ONLY_HISTORY_UNAVAILABLE,https://clinicaltrials.gov/study/NCT02860000?tab=history
NCT02860000,current,current,,Tumor Response Rate Defined as 100% Times the Number of Patients Who Meet the Criteria for Complete Response (CR) or Partial Response (PR) Using RECIST Criteria Version 1.1 [Time Frame: Up to 4.5 years],CURRENT_ONLY_HISTORY_UNAVAILABLE,https://clinicaltrials.gov/study/NCT02860000?tab=history
NCT01923298,original,,,,CURRENT_ONLY_HISTORY_UNAVAILABLE,https://clinicaltrials.gov/study/NCT01923298?tab=history
NCT01923298,pre_recruitment,,,,CURRENT_ONLY_HISTORY_UNAVAILABLE,https://clinicaltrials.gov/study/NCT01923298?tab=history
NCT01923298,pre_primary_completion,,,,CURRENT_ONLY_HISTORY_UNAVAILABLE,https://clinicaltrials.gov/study/NCT01923298?tab=history
NCT01923298,pre_publication,,,,CURRENT_ONLY_HISTORY_UNAVAILABLE,https://clinicaltrials.gov/study/NCT01923298?tab=history
NCT01923298,current,current,,"Changes in Serum Estradiol [Time Frame: Baseline, 16 weeks]",CURRENT_ONLY_HISTORY_UNAVAILABLE,https://clinicaltrials.gov/study/NCT01923298?tab=history
NCT00033514,original,,,,CURRENT_ONLY_HISTORY_UNAVAILABLE,https://clinicaltrials.gov/study/NCT00033514?tab=history
NCT00033514,pre_recruitment,,,,CURRENT_ONLY_HISTORY_UNAVAILABLE,https://clinicaltrials.gov/study/NCT00033514?tab=history
NCT00033514,pre_primary_completion,,,,CURRENT_ONLY_HISTORY_UNAVAILABLE,https://clinicaltrials.gov/study/NCT00033514?tab=history
NCT00033514,pre_publication,,,,CURRENT_ONLY_HISTORY_UNAVAILABLE,https://clinicaltrials.gov/study/NCT00033514?tab=history
NCT00033514,current,current,,The Objective Response Rate as Defined as Stable Disease or the Rate of Complete and Partial Responses Determined on Two Consecutive Occasions Greater Than or Equal to 4 Weeks Apart. [Time Frame: 5 years] | Recommended Dose for Phase II [Time Frame: treatment period],CURRENT_ONLY_HISTORY_UNAVAILABLE,https://clinicaltrials.gov/study/NCT00033514?tab=history
NCT01565083,original,,,,CURRENT_ONLY_HISTORY_UNAVAILABLE,https://clinicaltrials.gov/study/NCT01565083?tab=history
NCT01565083,pre_recruitment,,,,CURRENT_ONLY_HISTORY_UNAVAILABLE,https://clinicaltrials.gov/study/NCT01565083?tab=history
NCT01565083,pre_primary_completion,,,,CURRENT_ONLY_HISTORY_UNAVAILABLE,https://clinicaltrials.gov/study/NCT01565083?tab=history
